,ID,NAME
132,2129215,Luxuriously Spacious Studio Apt.
133,2142826,Singapore Room for Rent!
134,2146015,Pvt Bedroom Suite @ Orchard Central Area.
135,2156329,"Cozy Private Room w private Bath&AC, mins to MRT"
136,2156372,"Cozy, Many Guests Loved It Here"
137,2163108,"Attached bathroom @ Chinatown Apartment, City, MRT"
138,2320536,Single Room at Woodlands
139,2351979,Tribeca Robertson Quay (new 1br)
140,2357514,Heritage Shophouse Right in Epicentre of Sights
141,2362558,"City,(7~10pax)Entire Private Loft,Fast WIFI,Clean"
142,2375063,B.New 2 Bedroom Apt @ Orchard Area
143,2377875,City fringe living at condominium!
144,2387096,"City,(5~6 pax)Entire Private Loft,Fast WIFI,Clean"
145,2387588,"City,(7~9pax)Entire Private Loft, Fast WIFI,Clean"
146,2387687,"Promotion: City,S$54 /person/night,Fast wifi,Clean"
147,2387715,"City,(3~4pax)Moyen Alcôve,Fast WIFI,Clean,Cosy"
148,2387730,"Promotion: City,$54/pax, Fast WIFI,  Boutique Inn"
149,2387766,"City,(10~14pax)Entire Private Loft,Fast WIFI,Clean"
150,2427007,Beautiful new condo at Bt Timah
151,2450232,Nice attic room
152,2451003,Modern Chic 1BD shopfront
153,2484135,Nice Villa RoomB 6mins walk to MRT!
154,2488036,Amazing Location- Shophouse in Epicentre of Sights
155,2488042,Massive Room in Chinatown Shophouse
156,2532466,2BR perfect for work and leisure
157,2541029,LONG TERM LEASE Condo Common Room 1 No Owner
158,2547370,Happy Snail Hostel - 4 person Room
159,2547778,1950s cozy window singlebed roomQi @ lavender
160,2566687,Room in the NW part of SG
161,2612906,New Studio Apt @ Orchard/ Central Area...
162,2673027,Private Room Novena (2 Stops to Orchard)
163,2691621,"Sofa couch, near Orchard/Holland"
164,2696834,Master Rm A2 nr MRTCBP/CGH/SUTD/Boeing & SIA
165,2752673,❀❀2BR Fully Furnished @ Little India (un)
166,2764928,Centrally located Shop House
167,2838555,1 Bedroom with Balcony suite (Walk to Aljunied MRT
168,2840554,Spacious 1 bedroom unit (Walk to Aljunied MRT)
169,2851984,Room Rental just opposite MRT
170,2858696,New 2 Bedroom Apt @ Orchard Area
171,2868366,Studio Apt @ Orchard/Central
172,2890215,Bright Breezy Serviced Room
173,2922184,10 min walk to HawParVilla MRT- INSEAD booking!(8)
174,2959811,Central and stylish pied-a-terre - 3 months min.
175,2960181,"T - Bright, Quiet Luxe Studio @ Town"
176,3000736,16-Bed Mixed Dormitory
177,3034137,Cozy 1 BD linked to MRT (Heartland)
178,3075620,Everything You Need in Singapore
179,3078453,5 mins walk to MRT. Very near city.
180,3085308,2 bedrooms retro style apartment
181,3100323,Exclusive Riverside Condo Living
182,3116909,New Studio Apt @Orchard/Central
183,3140972,Ground floor Cosy and Spacious 1 bedroom apartment
184,3141018,"Penthouse + pool, jacuzzi & terrace"
185,3141692,Family 5/6 Beds Room
186,3142075,2Beds in 6 Beds Female Shared Room
187,3142155,Double Room / Triple Sharing
188,3144267,Furnished 1 Bedroom Apartment
189,3179080,12-Bed Ladies Dormitory
190,3179271,Room for friends (Max 4 guests)
191,3207194,Prime CBD Club Street heritage Loft S2
192,3209809,Super Convenient Downtown Studio
193,3212083,"Private room Club St, awesome view!"
194,3258894,Nicely Furnished 1 Bedroom Unit
195,3265545,Studio with private Rooftop
196,3304326,"Furnishied Room Near Airport, Changi BizPark, SUTD"
197,3325956,"Craig Place, Tanjong Pagar"
198,3340547,Home Away From Home (Thomson)
199,3349976,Private Room - min.6months
200,3380992,❀❀2BR Penthouse at Katong private pool
201,3405389,Nice appartment in shophouse condo
202,3419511,2 Bedroom Apt@ Orchard/Central Area
203,3433708,Tidy clean room in the north
204,3460343,Chic New Cozy Studio Apt @ Orchard
205,3468326,"Private, Quiet and Cozy Haven for 2"
206,3479446,FEMALE DORMS in the heart of Chinatown!
207,3479493,Dorms... in the heart of Chinatown!
208,3558867,Hougang MRT Master Bedroom3F Front
209,3580558,Gorgeous oasis near the river
210,3587207,Tastefully Decorated Suburban Condo
211,3598371,"Master Bedroom, Great Location!"
212,3639516,DORMS... in the heart of Chinatown!
213,3651408,DORMS... in the heart of Chinatown!
214,3667894,Chinatown at your door: Master Rm attach bathroom
215,3671451,Nice and Cosy 1 Bedroom Apartment
216,3717196,DORMS - In the heart of Chinatown!
217,3717217,4-Bed Private Room - Steps from Chinatown MRT!
218,3752662,Nice 1 Bedroom Unit (Ground floor)
219,3753251,Relaxed & Spacious Studio w JACUZZI
220,3788645,single room in sunny apartment
221,3790364,Spacious and Furnished 1 Bedroom Apartment
222,3802621,1-person Bunk Bed Private Room
223,3803160,3-person Bunk Bed Private Room
224,3822245,Cozy Studio Apt @ Orchard Area
225,3829545,Condo room near Boonlay MRT for Sharing
226,3838311,"HUGE MASTER ROOM, Private Balcony"
227,3844690,Cozy Apt Near Orchrd/Botanic Garden
228,3859180,Ground floor 1 Bedroom Unit
229,3863231,1 Bedroom Suite with balcony
230,3874257,"Modern 2BR Apt in Katong, free parking, near F&B"
231,3877859,Spacious 2 Bedroom Amidst Nature
232,3893523,Honeymoon Juccuzi Suite  (Thomson)
233,3901141,Fairytale Fantasy (Thomson)
234,3902423,Private Bedroom in a great flat
235,3909587,Beautifull Master Bed room!!
236,3924672,"Sunny Room with attached bathroom, "
237,3925851,Entire 2br In Bugis - 1min MRT/Walk Everywher
238,3927431,Sweet Place
239,3954113,01 Queen bed private rm landed home
240,3980202,1-person Bunk Bed Private Room
241,3980858,The Heartlands of Sunny Singapore!
242,3981252,Ultra convenient Condo close to MRT
243,3987557,❀❀❀3BR Purple Line spacious (ERS3B3)
244,3987930,Cosy 1 Bedroom Unit (Walk to Aljunied MRT Station)
245,3988536,Nice and Cosy 1 Bedroom Suite
246,3990431,1-person Bunk Bed Private Room
247,3991040,master room--quiet and cozy
248,3995441,Large and Nicely Furnished 1 Bedroom Suite
249,4007891,"City, (1~2pax)Reine Alcove, Fast WIFI, Clean,Cosy"
250,4008423,"City, Petit Alcôve, Super WIFI, Clean & Cosy"
251,4008569,❀❀❀3BR Spacious Condo @ near novena (ga)
252,4013186,Cosy Room right in the City town.
253,4017084,Masterbedroom for rent (Central)
254,4021128,Quiet Oasis with Greenery all round
255,4022486,Well Furnished 1 Bedroom Suite
256,4026199,2BR (For 4) Apt Orchard/Stevens/UNESCO *MRT* B
257,4027867,cosy apartment
258,4041554,Furnished 1 Bedroom Apartment
259,4054698,DORMS - In the heart of Chinatown!
260,4069756,DORMS - In the heart of Chinatown!
261,4070970,Double room in Robertson Quay
